STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-06,,,,,0,0,0,,61,36,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-07,,,,,0.52,0,0,,53,43,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-08,,,,,0.34,0,0,,64,46,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-09,,,,,0,0,0,,61,45,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-10,,,,,0,0,0,,58,42,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-11,,,,,0,0,0,,75,56,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-12,,,,,0,0,0,,73,50,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-13,,,,,0,0,0,,77,54,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-14,,,,,0,0,0,,75,59,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-15,,,,,0.71,0,0,,63,33,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-16,,,,,0.05,0,0,,49,31,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-17,,,,,0,0,0,,48,36,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-18,,,,,0,0,0,,49,35,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-19,,,,,0,0,0,,68,41,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-20,,,,,0,0,0,,60,45,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-21,,,,,0,0,0,,67,41,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-22,,,,,0.01,0,0,,71,51,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-23,,,,,0,0,0,,61,44,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-24,,,,,0,0,0,,62,42,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-25,,,,,0.02,0,0,,63,44,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-26,,,,,0.92,0,0,,67,46,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-27,,,,,0,0,0,,59,47,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-28,,,,,0,0,0,,67,45,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-29,,,,,0.03,0,0,,52,43,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-30,,,,,4.97,0,0,,52,41,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-01,,,,,0.12,0,0,,78,51,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-02,,,,,0,0,0,,70,56,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-03,,,,,0.08,0,0,,71,54,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-04,,,,,0.02,0,0,,65,54,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-05,,,,,0,0,0,,70,50,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-06,,,,,0,0,0,,71,52,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-07,,,,,0,0,0,,69,50,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-08,,,,,0.41,0,0,,59,53,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-09,,,,,0.04,0,0,,63,55,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-10,,,,,0.37,0,0,,83,57,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-11,,,,,0.03,0,0,,82,60,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-12,,,,,0,0,0,,85,64,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-13,,,,,0,0,0,,73,53,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-14,,,,,0.01,0,0,,71,52,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-15,,,,,0.15,0,0,,71,58,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-16,,,,,1.54,0,0,,68,58,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-17,,,,,0,0,0,,70,53,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-18,,,,,0,0,0,,67,51,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-19,,,,,0,0,0,,72,49,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-20,,,,,0,0,0,,78,53,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-21,,,,,0,0,0,,74,63,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-22,,,,,0.24,0,0,,67,59,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-23,,,,,0.91,0,0,,71,56,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-24,,,,,0.4,0,0,,70,57,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-25,,,,,0,0,0,,80,55,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-26,,,,,0,0,0,,86,66,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-27,,,,,0,0,0,,86,64,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-28,,,,,0,0,0,,64,54,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-29,,,,,0,0,0,,66,51,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-30,,,,,0,0,0,,75,55,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-05-31,,,,,0.05,0,0,,73,57,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-01,,,,,0,0,0,,77,55,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-02,,,,,0,0,0,,80,59,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-03,,,,,0.12,0,0,,87,65,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-04,,,,,0,0,0,,82,63,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-05,,,,,0.87,0,0,,76,61,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-06,,,,,0,0,0,,76,61,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-07,,,,,0,0,0,,82,60,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-08,,,,,0,0,0,,86,66,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-09,,,,,1.6,0,0,,73,63,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-10,,,,,0,0,0,,77,65,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-11,,,,,0.02,0,0,,70,61,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-12,,,,,0.07,0,0,,73,60,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-13,,,,,1.28,0,0,,79,65,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-14,,,,,0,0,0,,74,60,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-15,,,,,0,0,0,,80,59,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-16,,,,,0,0,0,,81,63,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-17,,,,,0,0,0,,89,71,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-18,,,,,0,0,0,,89,76,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-19,,,,,0.15,0,0,,77,68,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-20,,,,,0,0,0,,79,64,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-21,,,,,0,0,0,,78,62,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-22,,,,,0,0,0,,79,64,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-23,,,,,0,0,0,,81,65,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-06-24,,,,,0,0,0,,81,68,,,,,,,,,,,
